paradigm,replication,rater,phase_completeness,component_completeness,logic_correctness,overall_usability
Stroop,1,1,100,100,95,5
Stroop,1,2,100,95,95,5
Stroop,1,3,100,95,95,4
Stroop,2,1,100,100,100,5
Stroop,2,2,100,95,95,5
Stroop,2,3,100,95,90,4
Stroop,3,1,100,100,100,5
Stroop,3,2,100,95,90,4
Stroop,3,3,100,95,95,5
Simon,1,1,100,95,95,5
Simon,1,2,100,90,90,4
Simon,1,3,100,95,90,5
Simon,2,1,100,100,100,5
Simon,2,2,100,90,85,4
Simon,2,3,100,95,90,5
Simon,3,1,100,90,95,5
Simon,3,2,100,95,95,4
Simon,3,3,100,90,85,4
Flanker,1,1,100,90,90,4
Flanker,1,2,100,85,85,4
Flanker,1,3,100,90,85,5
Flanker,2,1,100,95,100,5
Flanker,2,2,100,90,90,4
Flanker,2,3,100,95,85,4
Flanker,3,1,100,95,90,5
Flanker,3,2,100,90,85,4
Flanker,3,3,100,95,95,4
IAT,1,1,80,85,75,3
IAT,1,2,80,80,70,3
IAT,1,3,80,85,80,4
IAT,2,1,100,90,85,4
IAT,2,2,100,85,80,4
IAT,2,3,100,85,80,4
IAT,3,1,90,80,70,3
IAT,3,2,90,80,70,4
IAT,3,3,90,80,80,3
Nback,1,1,90,90,85,4
Nback,1,2,90,85,80,4
Nback,1,3,90,90,85,4
Nback,2,1,100,95,95,5
Nback,2,2,100,95,85,4
Nback,2,3,100,95,85,4
Nback,3,1,90,95,75,4
Nback,3,2,90,90,80,4
Nback,3,3,90,90,90,3
